Date,Municipality,Confirmed
3/6/2020,Cherry Hill Township,1
3/13/2020,Cherry Hill Township,1
3/16/2020,Haddon Township,1
3/18/2020,Cherry Hill Township,3
3/18/2020,Pine Hill Borough,1
3/19/2020,,2
3/19/2020,Barrington Borough,1
3/19/2020,Cherry Hill Township,1
3/19/2020,Voorhees Township,1
3/20/2020,Camden City,1
3/20/2020,Haddonfield Borough,1
3/20/2020,Winslow Township,2
3/21/2020,Cherry Hill Township,2
3/21/2020,Gloucester Township,1
3/21/2020,Pennsauken Township,1
3/22/2020,Barrington Borough,1
3/22/2020,Cherry Hill Township,3
3/22/2020,Winslow Township,1
3/23/2020,Blackwood,1
3/23/2020,Camden City,1
3/23/2020,Cherry Hill Township,5
3/23/2020,Clementon Borough,2
3/23/2020,Haddon Township,2
3/23/2020,Pennsauken Township,1
3/23/2020,Somerdale Borough,1
3/23/2020,Voorhees Township,1
3/23/2020,Waterford Township,1
3/23/2020,Waterford Works Township,1
3/24/2020,Bellmawr Borough,1
3/24/2020,Camden City,1
3/24/2020,Cherry Hill Township,2
3/24/2020,Collingswood Borough,2
3/24/2020,Gloucester City,1
3/24/2020,Gloucester Township,2
3/24/2020,Haddonfield Borough,1
3/24/2020,Lindenwold Borough,1
3/24/2020,Magnolia Borough,1
3/24/2020,Pine Hill Borough,1
3/24/2020,Somerdale Borough,1
3/24/2020,Voorhees Township,1
3/24/2020,Winslow Township,3
3/25/2020,Cherry Hill Township,6
3/25/2020,Gloucester City,1
3/25/2020,Pennsauken Township,1
3/25/2020,Voorhees Township,2
3/25/2020,Winslow Township,1
3/26/2020,,1
3/26/2020,Camden City,2
3/26/2020,Cherry Hill Township,2
3/26/2020,Gloucester Township,3
3/26/2020,Haddon Heights Borough,1
3/26/2020,Haddonfield Borough,1
3/26/2020,Oaklyn Borough,1
3/26/2020,Pennsauken Township,1
3/26/2020,Voorhees Township,2
3/27/2020,Barrington Borough,1
3/27/2020,Camden City,1
3/27/2020,Cherry Hill Township,7
3/27/2020,Collingswood Borough,1
3/27/2020,Gloucester Township,4
3/27/2020,Haddon Township,1
3/27/2020,Haddonfield Borough,1
3/27/2020,Lindenwold Borough,3
3/27/2020,Merchantville Borough,2
3/27/2020,Pennsauken Township,5
3/27/2020,Pine Hill Borough,2
3/27/2020,Voorhees Township,2
3/27/2020,Winslow Township,3
3/28/2020,Barrington Borough,1
3/28/2020,Bellmawr Borough,1
3/28/2020,Berlin Township,1
3/28/2020,Camden City,2
3/28/2020,Cherry Hill Township,4
3/28/2020,Gloucester Township,5
3/28/2020,Merchantville Borough,1
3/28/2020,Runnemede Borough,1
3/28/2020,Voorhees Township,1
3/28/2020,Winslow Township,4
3/29/2020,Camden City,1
3/29/2020,Cherry Hill Township,7
3/29/2020,Collingswood Borough,1
3/29/2020,Gloucester City,1
3/29/2020,Gloucester Township,6
3/29/2020,Lindenwold Borough,2
3/29/2020,Mount Ephraim Borough,1
3/29/2020,Somerdale Borough,1
3/29/2020,Voorhees Township,1
3/29/2020,Winslow Township,4
3/30/2020,Audubon Borough,1
3/30/2020,Bellmawr Borough,1
3/30/2020,Brooklawn Borough,1
3/30/2020,Camden City,3
3/30/2020,Cherry Hill Township,9
3/30/2020,Collingswood Borough,1
3/30/2020,Gloucester Township,4
3/30/2020,Gloucester Twp ,1
3/30/2020,Haddon Township,1
3/30/2020,Lawnside Borough,1
3/30/2020,Magnolia Borough,1
3/30/2020,Oaklyn Borough,1
3/30/2020,Pennsauken Township,5
3/30/2020,Pine Hill Borough,1
3/30/2020,Voorhees Township,2
3/30/2020,Waterford Township,1
3/30/2020,Winslow Township,6
3/30/2020,Woodlynne Borough,1
3/31/2020,Audubon Borough,1
3/31/2020,Camden City,4
3/31/2020,Cherry Hill Township,7
3/31/2020,Gloucester Township,8
3/31/2020,Haddon Heights Borough,1
3/31/2020,Haddonfield Borough,2
3/31/2020,Magnolia Borough,1
3/31/2020,Pennsauken Township,9
3/31/2020,Pine Hill Borough,1
3/31/2020,Stratford Borough,1
3/31/2020,Voorhees Township,2
3/31/2020,Winslow Township,3
3/31/2020,Woodlynne Borough,1
4/1/2020,Audubon Borough,2
4/1/2020,Barrington Borough,2
4/1/2020,Berlin Borough,1
4/1/2020,Camden City,7
4/1/2020,Cherry Hill Township,7
4/1/2020,Chesilhurst Borough,1
4/1/2020,Clementon Borough,1
4/1/2020,Collingswood Borough,1
4/1/2020,Gloucester Township,9
4/1/2020,Haddonfield Borough,2
4/1/2020,Hi-Nella Borough,1
4/1/2020,Lawnside Borough,1
4/1/2020,Lindenwold Borough,2
4/1/2020,Merchantville Borough,1
4/1/2020,Pennsauken Township,8
4/1/2020,Runnemede Borough,1
4/1/2020,Stratford Borough,1
4/1/2020,Voorhees Township,4
4/1/2020,Winslow Township,6
4/1/2020,Woodlynne Borough,1
4/2/2020,Audubon Borough,1
4/2/2020,Barrington Borough,1
4/2/2020,Bellmawr Borough,1
4/2/2020,Brooklawn Borough,1
4/2/2020,Camden City,10
4/2/2020,Cherry Hill Township,7
4/2/2020,Collingswood Borough,1
4/2/2020,Gloucester City,1
4/2/2020,Gloucester Township,5
4/2/2020,Lindenwold Borough,3
4/2/2020,Merchantville Borough,1
4/2/2020,Pennsauken Township,5
4/2/2020,Pine Hill Borough,1
4/2/2020,Runnemede Borough,1
4/2/2020,Somerdale Borough,1
4/2/2020,Voorhees Township,1
4/2/2020,Winslow Township,7
4/3/2020,Audubon Borough,1
4/3/2020,Bellmawr Borough,2
4/3/2020,Berlin Borough,2
4/3/2020,Brooklawn Borough,1
4/3/2020,Camden City,7
4/3/2020,Cherry Hill Township,9
4/3/2020,Gloucester City,1
4/3/2020,Gloucester Township,9
4/3/2020,Haddon Township,1
4/3/2020,Haddonfield Borough,2
4/3/2020,Lindenwold Borough,3
4/3/2020,Oaklyn Borough,1
4/3/2020,Pine Hill Borough,3
4/3/2020,Voorhees Township,4
4/3/2020,Waterford Township,2
4/3/2020,Winslow Township,11
4/4/2020,Berlin Borough,1
4/4/2020,Camden City,12
4/4/2020,Cherry Hill Township,19
4/4/2020,Collingswood Borough,4
4/4/2020,Gloucester City,2
4/4/2020,Gloucester Township,13
4/4/2020,Haddon Township,4
4/4/2020,Haddonfield Borough,2
4/4/2020,Lawnside Borough,2
4/4/2020,Lindenwold Borough,6
4/4/2020,Magnolia Borough,1
4/4/2020,Merchantville Borough,1
4/4/2020,Pennsauken Township,4
4/4/2020,Pine Hill Borough,1
4/4/2020,Somerdale Borough,1
4/4/2020,Stratford Borough,1
4/4/2020,Voorhees Township,7
4/4/2020,Waterford Township,2
4/4/2020,Winslow Township,11
4/4/2020,Woodlynne Borough,1
4/5/2020,Audubon Borough,1
4/5/2020,Bellmawr Borough,1
4/5/2020,Camden City,12
4/5/2020,Cherry Hill Township,11
4/5/2020,Collingswood Borough,2
4/5/2020,Gloucester Township,2
4/5/2020,Haddon Heights Borough,2
4/5/2020,Haddon Township,1
4/5/2020,Haddonfield Borough,1
4/5/2020,Lawnside Borough,1
4/5/2020,Lindenwold Borough,3
4/5/2020,Magnolia Borough,1
4/5/2020,Merchantville Borough,2
4/5/2020,Pennsauken Township,8
4/5/2020,Runnemede Borough,3
4/5/2020,Somerdale Borough,1
4/5/2020,Voorhees Township,4
4/5/2020,Waterford Township,1
4/5/2020,Winslow Township,2
4/6/2020,Audubon Borough,1
4/6/2020,Barrington Borough,1
4/6/2020,Bellmawr Borough,4
4/6/2020,Berlin Borough,2
4/6/2020,Camden City,15
4/6/2020,Cherry Hill Township,20
4/6/2020,Clementon Borough,1
4/6/2020,Collingswood Borough,4
4/6/2020,Gibbsboro Borough,1
4/6/2020,Gloucester City,1
4/6/2020,Gloucester Township,14
4/6/2020,Haddon Township,4
4/6/2020,Laurel Springs Borough,1
4/6/2020,Lindenwold Borough,6
4/6/2020,Merchantville Borough,2
4/6/2020,Mount Ephraim Borough,1
4/6/2020,Pennsauken Township,13
4/6/2020,Pine Hill Borough,1
4/6/2020,Runnemede Borough,1
4/6/2020,Somerdale Borough,3
4/6/2020,Voorhees Township,12
4/6/2020,Waterford Township,1
4/6/2020,Winslow Township,11
4/6/2020,Woodlynne Borough,1
4/7/2020,Barrington Borough,1
4/7/2020,Bellmawr Borough,2
4/7/2020,Berlin Borough,3
4/7/2020,Camden City,22
4/7/2020,Cherry Hill Township,10
4/7/2020,Chesilhurst Borough,1
4/7/2020,Clementon Borough,1
4/7/2020,Collingswood Borough,3
4/7/2020,Gloucester City,1
4/7/2020,Gloucester Township,9
4/7/2020,Haddon Township,2
4/7/2020,Haddonfield Borough,1
4/7/2020,Lindenwold Borough,4
4/7/2020,Pennsauken Township,6
4/7/2020,Pine Hill Borough,1
4/7/2020,Runnemede Borough,2
4/7/2020,Somerdale Borough,1
4/7/2020,Stratford Borough,1
4/7/2020,Voorhees Township,20
4/7/2020,Winslow Township,5
4/7/2020,Woodlynne Borough,1
4/8/2020,Audubon Borough,1
4/8/2020,Bellmawr Borough,1
4/8/2020,Camden City,32
4/8/2020,Cherry Hill Township,12
4/8/2020,Clementon Borough,1
4/8/2020,Collingswood Borough,1
4/8/2020,Gloucester Township,6
4/8/2020,Haddonfield Borough,1
4/8/2020,Lawnside Borough,1
4/8/2020,Lindenwold Borough,6
4/8/2020,Magnolia Borough,1
4/8/2020,Oaklyn Borough,1
4/8/2020,Pennsauken Township,6
4/8/2020,Pine Hill Borough,6
4/8/2020,Runnemede Borough,6
4/8/2020,Somerdale Borough,1
4/8/2020,Stratford Borough,1
4/8/2020,Voorhees Township,8
4/8/2020,Waterford Township,2
4/8/2020,Winslow Township,2
4/9/2020,Audubon Borough,2
4/9/2020,Barrington Borough,1
4/9/2020,Bellmawr Borough,3
4/9/2020,Berlin Borough,2
4/9/2020,Camden City,30
4/9/2020,Cherry Hill Township,26
4/9/2020,Clementon Borough,3
4/9/2020,Collingswood Borough,1
4/9/2020,Gloucester Township,17
4/9/2020,Haddon Township,2
4/9/2020,Haddonfield Borough,1
4/9/2020,Lindenwold Borough,4
4/9/2020,Merchantville Borough,3
4/9/2020,Mount Ephraim Borough,1
4/9/2020,Pennsauken Township,15
4/9/2020,Pine Hill Borough,1
4/9/2020,Voorhees Township,8
4/9/2020,Waterford Township,1
4/9/2020,Winslow Township,7
4/9/2020,Woodlynne Borough,4
4/10/2020,Audubon Borough,1
4/10/2020,Camden City,24
4/10/2020,Cherry Hill Township,10
4/10/2020,Gloucester City,2
4/10/2020,Gloucester Township,4
4/10/2020,Haddonfield Borough,2
4/10/2020,Lawnside Borough,2
4/10/2020,Lindenwold Borough,5
4/10/2020,Merchantville Borough,2
4/10/2020,Pennsauken Township,9
4/10/2020,Pine Hill Borough,3
4/10/2020,Runnemede Borough,2
4/10/2020,Somerdale Borough,1
4/10/2020,Stratford Borough,2
4/10/2020,Voorhees Township,8
4/10/2020,Winslow Township,4
4/10/2020,Woodlynne Borough,3
4/11/2020,Barrington Borough,1
4/11/2020,Bellmawr Borough,1
4/11/2020,Berlin Borough,2
4/11/2020,Camden City,16
4/11/2020,Cherry Hill Township,20
4/11/2020,Gloucester City,1
4/11/2020,Gloucester Township,12
4/11/2020,Haddon Township,1
4/11/2020,Hi-Nella Borough,1
4/11/2020,Lindenwold Borough,2
4/11/2020,Pennsauken Township,13
4/11/2020,Pine Hill Borough,1
4/11/2020,Runnemede Borough,1
4/11/2020,Stratford Borough,1
4/11/2020,Voorhees Township,5
4/11/2020,Waterford Township,1
4/11/2020,Winslow Township,4
4/12/2020,Bellmawr Borough,2
4/12/2020,Camden City,16
4/12/2020,Cherry Hill Township,16
4/12/2020,Chesilhurst Borough,2
4/12/2020,Clementon Borough,1
4/12/2020,Gloucester City,2
4/12/2020,Gloucester Township,9
4/12/2020,Laurel Springs Borough,1
4/12/2020,Lawnside Borough,1
4/12/2020,Lindenwold Borough,3
4/12/2020,Merchantville Borough,1
4/12/2020,Oaklyn Borough,2
4/12/2020,Pennsauken Township,10
4/12/2020,Pine Hill Borough,1
4/12/2020,Stratford Borough,1
4/12/2020,Voorhees Township,5
4/12/2020,Winslow Township,5
4/12/2020,Woodlynne Borough,2
4/13/2020,Audubon Borough,1
4/13/2020,Bellmawr Borough,1
4/13/2020,Berlin Borough,1
4/13/2020,Camden City,40
4/13/2020,Cherry Hill Township,8
4/13/2020,Collingswood Borough,4
4/13/2020,Gibbsboro Borough,1
4/13/2020,Gloucester City,3
4/13/2020,Gloucester Township,15
4/13/2020,Haddon Heights Borough,1
4/13/2020,Haddon Township,1
4/13/2020,Haddonfield Borough,1
4/13/2020,Laurel Springs Borough,3
4/13/2020,Lawnside Borough,1
4/13/2020,Lindenwold Borough,12
4/13/2020,Merchantville Borough,1
4/13/2020,Mount Ephraim Borough,1
4/13/2020,Pennsauken Township,12
4/13/2020,Pine Hill Borough,1
4/13/2020,Runnemede Borough,2
4/13/2020,Somerdale Borough,1
4/13/2020,Stratford Borough,1
