FIPS,Name,Population,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
02200,Audubon Borough,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,6,6,7,8,8,9,11,12,12,12,13,14,15,16,16,17,17,18,19,20,20,21,24,24,25,25,27,28,28,30,30,31,33,33,33,33,36,36,36,36,42,43,43,43,43,43,43
02230,Audubon Park Borough,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5
03250,Barrington Borough,6683,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,4,4,4,4,6,7,7,7,7,8,9,9,10,10,11,11,11,12,13,14,15,15,15,15,15,15,15,15,17,17,19,19,21,21,23,25,25,25,25,27,27,28,28,28,29,29,33,33,33,33,34,34,34
04750,Bellmawr Borough,11374,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,6,6,7,11,13,14,17,17,18,20,21,22,23,25,26,27,27,28,30,30,31,32,33,34,39,43,44,46,47,52,54,57,59,62,62,67,70,71,71,71,90,91,91,92,94,98,98
05440,Berlin Borough,7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,9,9,11,11,13,13,14,17,17,17,17,18,18,20,23,23,24,26,26,26,26,27,27,28,28,28,28,28,28,28,29,29,29,31,31,31,40,40,40,40,41,41,42
05470,Berlin Township,5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,6,6,6,6,6,6,7,8,9,9,10,11,14,14,15,16,20,20,21,23,24,26,26
08170,Brooklawn Borough,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,6,6,7,7,7,7,7,8,8,8,8,9,10,10,10,11,12,13,13,14,17,17,17,19,20,20,20,20,20,20
10000,Camden City,73973,0,0,0,0,0,0,0,1,1,1,2,3,3,5,6,8,9,12,16,23,33,40,52,64,79,101,133,163,187,203,219,259,285,307,371,405,441,485,511,542,585,621,623,666,700,750,785,809,837,882,930,969,1007,1034,1054,1063,1118,1171,1188,1224,1227,1546,1579,1597,1626,1655,1668,1710
12280,Cherry Hill Township,71009,1,1,1,1,1,4,5,5,7,10,15,17,23,25,32,36,43,52,59,66,73,82,101,112,132,142,154,180,190,210,226,234,242,252,268,276,287,300,306,336,349,372,383,394,395,413,443,474,478,490,499,508,518,529,535,542,556,584,595,604,610,731,750,761,772,778,783,786
12550,Chesilhurst Borough,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,5,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,11,11,12,13,13,13,21,21,21,22,23,23,24
13420,Clementon Borough,4945,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,6,9,9,9,10,10,14,16,16,18,20,22,22,23,26,26,26,26,27,28,29,29,32,34,34,34,34,36,38,39,40,41,42,44,44,49,50,50,51,52,52,53
14260,Collingswood Borough,13916,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,5,5,6,7,7,11,13,17,20,21,22,22,22,22,26,26,28,29,29,30,34,36,36,37,38,38,39,39,40,43,45,46,48,48,48,48,49,49,52,53,53,54,55,55,59,60,61,61,62,62,63
26070,Gibbsboro Borough,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6
26820,Gloucester City,11244,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,4,5,7,7,8,9,9,9,11,12,14,17,18,19,19,20,21,22,25,27,27,27,27,28,28,30,31,32,32,33,35,38,42,44,46,46,52,55,57,59,60,76,77,77,78,79,79,79
26760,Gloucester Township,63884,0,0,0,0,0,0,0,0,1,1,1,3,3,6,10,15,21,25,33,42,47,56,69,71,85,94,100,117,121,133,142,157,166,172,181,189,201,203,210,218,222,231,236,246,249,271,280,289,292,298,307,313,319,325,333,335,340,349,359,365,369,434,438,447,455,462,475,491
28800,Haddon Heights Borough,7541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,5,6,7,7,7,7,9,9,9,9,9,9,10,10,10,10,11,11,12,13,13,13,13,13,13,13,13,13,14,14,20,21,21,21,22,22,22
28740,Haddon Township,14568,0,0,0,1,1,1,1,1,1,1,3,3,3,3,4,4,4,5,5,5,5,6,10,11,15,17,17,19,19,20,20,21,22,22,24,25,27,28,30,32,33,33,34,37,37,41,42,44,45,46,48,48,50,50,50,50,51,52,52,52,52,70,71,73,73,74,74,74
28770,Haddonfield Borough,11345,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,4,4,6,8,8,10,12,13,13,14,15,16,18,18,18,19,19,20,20,22,22,22,22,22,22,22,23,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,36,36,38,40,40,40,43
32220,Hi-Nella Borough,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39210,Laurel Springs Borough,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,6,6,6,6,6,8,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,14,14,14,15,15,16
